,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-05-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,22.0,,3.0,,19.0,1.0,,,,,,I
1,2020-04-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,22.0,,3.0,,19.0,1.0,,,,,,I
2,2020-03-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,18.0,,2.0,,16.0,1.0,,,,,,I
3,2020-02-01,29.0,PR,95,6126,0,NIOBRARA,,,,,,,22.0,,2.0,,20.0,1.0,,,,,,I
4,2020-01-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,18.0,,2.0,,16.0,1.0,,,,,,I
5,2019-12-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,23.0,,3.0,,20.0,1.0,,,,,,I
6,2019-11-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,36.0,,4.0,,32.0,1.0,,,,,,I
7,2019-10-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,29.0,,3.0,,26.0,1.0,,,,,,I
8,2019-09-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,29.0,,3.0,,26.0,1.0,,,,,,I
9,2019-08-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,28.0,,3.0,,25.0,1.0,,,,,,I
10,2019-07-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,44.0,,4.0,,40.0,1.0,,,,,,I
11,2019-06-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,604.0,,59.0,,545.0,1.0,,,2326.0,,,I
12,2019-05-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,35.0,,4.0,,31.0,1.0,,,606.0,,,I
13,2019-04-01,30.0,PR,95,6126,0,NIOBRARA,,,,,,,2.0,,,,2.0,1.0,,,,,,I
14,2019-03-01,31.0,PR,95,6126,0,NIOBRARA,,,,,,,42.0,,4.0,,38.0,1.0,,,,,,I
