,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,123,39862,0,NIOBRARA,236.0,284.0,421.0,,99.0,66.0,1012.0,,,,1012.0,1310.0,,,199.0,,,M
1,2020-03-01,31.0,PR,123,39862,0,NIOBRARA,163.0,284.0,211.0,,236.0,70.5,1087.0,,,,1087.0,1320.0,,,214.0,,,M
2,2020-02-01,29.0,PR,123,39862,0,NIOBRARA,123.0,344.0,303.0,-1.0,163.0,70.2,1165.0,,,,1165.0,1330.0,,,248.0,,,M
3,2020-01-01,31.0,PR,123,39862,0,NIOBRARA,111.0,283.0,271.0,,123.0,72.9,882.0,,,,882.0,1330.0,,,147.0,,,M
4,2019-12-01,31.0,PR,123,39862,0,NIOBRARA,162.0,350.0,401.0,,111.0,66.8,1035.0,,,,1035.0,1340.0,,,212.0,,,M
5,2019-11-01,30.0,PR,123,39862,0,NIOBRARA,106.0,345.0,290.0,1.0,162.0,63.2,1206.0,,,,1206.0,1350.0,,,208.0,,,M
6,2019-10-01,31.0,PR,123,39862,0,NIOBRARA,124.0,257.0,274.0,-1.0,106.0,63.9,864.0,,,,864.0,1360.0,,,103.0,,,M
7,2019-09-01,30.0,PR,123,39862,0,NIOBRARA,142.0,337.0,355.0,,124.0,63.9,1263.0,,,,1263.0,1360.0,,,259.0,,,M
8,2019-08-01,31.0,PR,123,39862,0,NIOBRARA,146.0,397.0,402.0,1.0,142.0,60.9,1529.0,,,,1529.0,1350.0,,,277.0,,,M
9,2019-07-01,31.0,PR,123,39862,0,NIOBRARA,108.0,283.0,244.0,-1.0,146.0,62.1,1007.0,,,,1007.0,1360.0,,,127.0,,,M
10,2019-06-01,30.0,PR,123,39862,0,NIOBRARA,104.0,260.0,255.0,-1.0,108.0,60.9,1152.0,,,,1152.0,1370.0,,,158.0,,,M
11,2019-05-01,31.0,PR,123,39862,0,NIOBRARA,83.0,369.0,348.0,,104.0,66.9,1098.0,,,,1098.0,1370.0,,,217.0,,,M
12,2019-04-01,30.0,PR,123,39862,0,NIOBRARA,84.0,292.0,293.0,,83.0,70.2,966.0,,260.0,,706.0,1360.0,,,145.0,,,M
13,2019-03-01,31.0,PR,123,39862,0,NIOBRARA,149.0,321.0,386.0,,84.0,70.0,1249.0,,293.0,,956.0,1350.0,,,213.0,,,M
14,2019-02-01,28.0,PR,123,39862,0,NIOBRARA,79.0,241.0,171.0,,149.0,72.4,1211.0,,357.0,,854.0,1360.0,,,78.0,,,M
15,2019-01-01,31.0,PR,123,39862,0,NIOBRARA,117.0,164.0,203.0,1.0,79.0,68.8,1051.0,,310.0,,741.0,1360.0,,,192.0,,,M
16,2018-12-01,31.0,PR,123,39862,0,NIOBRARA,105.0,220.0,208.0,,117.0,64.4,1031.0,,277.0,,754.0,1360.0,,,154.0,,,M
17,2018-11-01,30.0,PR,123,39862,0,NIOBRARA,145.0,317.0,356.0,-1.0,105.0,56.5,776.0,,158.0,,618.0,1360.0,,,140.0,,,M
18,2018-10-01,31.0,PR,123,39862,0,NIOBRARA,224.0,319.0,399.0,1.0,145.0,63.4,902.0,,152.0,,750.0,1360.0,,,172.0,,,M
19,2018-09-01,30.0,PR,123,39862,0,NIOBRARA,93.0,373.0,241.0,-1.0,224.0,67.6,1008.0,,184.0,,824.0,1370.0,,,153.0,,,M
20,2018-08-01,31.0,PR,123,39862,0,NIOBRARA,224.0,258.0,389.0,,93.0,63.8,1046.0,,215.0,,831.0,1370.0,,,147.0,,,M
21,2018-07-01,31.0,PR,123,39862,0,NIOBRARA,174.0,393.0,342.0,-1.0,224.0,64.6,1939.0,,277.0,,1662.0,1360.0,,,33.0,,,M
22,2018-06-01,30.0,PR,123,39862,0,NIOBRARA,187.0,445.0,459.0,1.0,174.0,61.3,1904.0,,258.0,,1646.0,1350.0,,,47.0,,,M
23,2018-05-01,31.0,PR,123,39862,0,NIOBRARA,220.0,442.0,475.0,,187.0,71.9,1868.0,,330.0,,1538.0,1350.0,,,71.0,,,M
24,2018-04-01,30.0,PR,123,39862,0,NIOBRARA,178.0,487.0,446.0,1.0,220.0,75.7,2056.0,,414.0,,1642.0,1350.0,,,114.0,,,M
25,2018-03-01,31.0,PR,123,39862,0,NOT COMPLETED,276.0,555.0,635.0,-18.0,178.0,72.1,2254.0,,466.0,,1788.0,1350.0,,,142.0,,,M
26,2018-02-01,28.0,PR,123,39862,0,NOT COMPLETED,124.0,421.0,269.0,,276.0,71.4,1917.0,,463.0,,1454.0,1370.0,,,117.0,,,M
27,2018-01-01,31.0,PR,123,39862,0,NOT COMPLETED,156.0,444.0,475.0,-1.0,124.0,63.6,1879.0,,487.0,,1392.0,1380.0,,,97.0,,,M
28,2017-12-01,31.0,PR,123,39862,0,NOT COMPLETED,160.0,506.0,511.0,1.0,156.0,57.6,1685.0,,407.0,,1278.0,1350.0,,,99.0,,,M
29,2017-11-01,30.0,PR,123,39862,0,NOT COMPLETED,110.0,338.0,288.0,,160.0,63.6,2340.0,,577.0,,1763.0,1340.0,,,75.0,,,M
30,2017-10-01,31.0,PR,123,39862,0,NOT COMPLETED,94.0,455.0,439.0,,110.0,56.4,1422.0,,323.0,,1099.0,1370.0,,,227.0,,,M
31,2017-09-01,30.0,PR,123,39862,0,NOT COMPLETED,138.0,428.0,472.0,,94.0,52.2,2177.0,,447.0,,1730.0,1370.0,,,278.0,,,M
32,2017-08-01,31.0,PR,123,39862,0,NOT COMPLETED,159.0,589.0,610.0,,138.0,48.9,3242.0,,611.0,,2631.0,1360.0,0.0,0.0,558.0,0.0,0.0,M
33,2017-07-01,31.0,PR,123,39862,0,NOT COMPLETED,108.0,666.0,615.0,,159.0,50.4,3570.0,,630.0,,2940.0,1360.0,0.0,0.0,389.0,0.0,0.0,M
34,2017-06-01,30.0,PR,123,39862,0,NOT COMPLETED,165.0,632.0,689.0,,108.0,49.1,3713.0,,659.0,,3054.0,1380.0,0.0,0.0,330.0,0.0,0.0,M
35,2017-05-01,31.0,PR,123,39862,0,NOT COMPLETED,146.0,713.0,694.0,,165.0,53.4,4143.0,,690.0,,3453.0,1370.0,0.0,0.0,412.0,0.0,0.0,M
36,2017-04-01,30.0,PR,123,39862,0,NOT COMPLETED,124.0,724.0,702.0,,146.0,54.1,3842.0,,669.0,,3173.0,1380.0,0.0,0.0,422.0,0.0,0.0,M
37,2017-03-01,31.0,PR,123,39862,0,NOT COMPLETED,249.0,795.0,920.0,,124.0,51.0,4221.0,,723.0,,3498.0,1370.0,0.0,0.0,436.0,0.0,0.0,M
38,2017-02-01,28.0,PR,123,39862,0,NOT COMPLETED,139.0,733.0,622.0,-1.0,249.0,49.9,3371.0,,574.0,,2797.0,1390.0,0.0,0.0,441.0,0.0,0.0,M
39,2017-01-01,31.0,PR,123,39862,0,NOT COMPLETED,138.0,609.0,608.0,,139.0,53.4,3140.0,,570.0,,2570.0,1390.0,0.0,0.0,280.0,0.0,0.0,M
40,2016-12-01,31.0,PR,123,39862,0,NOT COMPLETED,117.0,894.0,872.0,-1.0,138.0,55.9,4583.0,,825.0,,3758.0,1390.0,0.0,0.0,366.0,0.0,0.0,M
41,2016-11-01,30.0,PR,123,39862,0,NOT COMPLETED,139.0,891.0,912.0,-1.0,117.0,50.3,4783.0,,753.0,,4030.0,1390.0,0.0,0.0,326.0,0.0,0.0,M
42,2016-10-01,31.0,PR,123,39862,0,NOT COMPLETED,117.0,934.0,911.0,-1.0,139.0,51.8,5265.0,,793.0,,4472.0,1380.0,0.0,0.0,386.0,0.0,0.0,M
43,2016-09-01,30.0,PR,123,39862,0,NOT COMPLETED,75.0,1014.0,972.0,,117.0,50.0,5514.0,,849.0,,4665.0,1383.0,0.0,0.0,511.0,0.0,0.0,M
