,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,28.0,3.0,1.0,,30.0,53.8,1304.0,,9.0,,1295.0,1113.0,,,13.0,,,C
1,2020-03-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,25.0,4.0,1.0,,28.0,54.2,1348.0,,10.0,,1338.0,1113.0,,,25.0,,,C
2,2020-02-01,29.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,23.0,4.0,2.0,,25.0,54.3,1266.0,,9.0,,1257.0,1113.0,,,13.0,,,C
3,2020-01-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,21.0,3.0,1.0,,23.0,54.2,1403.0,,10.0,,1393.0,1113.0,,,15.0,,,C
4,2019-12-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,20.0,2.0,1.0,,21.0,53.3,1468.0,,10.0,,1458.0,1115.0,,,19.0,,,C
5,2019-11-01,30.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,18.0,3.0,1.0,,20.0,52.5,1425.0,,10.0,,1415.0,1115.0,,,20.0,,,C
6,2019-10-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,35.0,2.0,19.0,,18.0,53.5,1421.0,,10.0,,1411.0,1115.0,,,14.0,,,C
7,2019-09-01,30.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,33.0,3.0,1.0,,35.0,51.9,1353.0,,10.0,,1343.0,1115.0,,,27.0,,,C
8,2019-08-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,41.0,3.0,11.0,,33.0,53.9,1375.0,,9.0,,1366.0,1115.0,,,25.0,,,C
9,2019-07-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,39.0,3.0,1.0,,41.0,52.7,1485.0,,11.0,,1474.0,1113.0,,,40.0,,,C
10,2019-06-01,30.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,38.0,3.0,2.0,,39.0,53.1,1488.0,,11.0,,1477.0,1113.0,,,26.0,,,C
11,2019-05-01,31.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,35.0,5.0,2.0,,38.0,52.7,1590.0,,12.0,,1578.0,1105.0,,,38.0,,,C
12,2019-04-01,30.0,PR,45,9941,0,WILLIAMS FORK - CAMEO,33.0,4.0,2.0,,35.0,52.8,1499.0,,11.0,,1488.0,1105.0,,,38.0,,,C
