,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,22.0,6.0,5.0,,23.0,59.6,4339.0,,290.0,,4049.0,1081.0,,,55.0,,,C
1,2020-03-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,31.0,43.0,52.0,,22.0,55.2,4309.0,,299.0,,4010.0,1081.0,,,53.0,,,C
2,2020-02-01,29.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,35.0,8.0,12.0,,31.0,59.0,4290.0,,280.0,,4010.0,1081.0,,,83.0,,,C
3,2020-01-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,33.0,9.0,7.0,,35.0,58.0,4788.0,,299.0,,4489.0,1081.0,,,86.0,,,C
4,2019-12-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,35.0,5.0,7.0,,33.0,58.7,4245.0,,299.0,,3946.0,1081.0,,,31.0,,,C
5,2019-11-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,21.0,13.0,,,34.0,,4249.0,,290.0,,3959.0,1081.0,,,31.0,,,C
6,2019-10-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,23.0,3.0,5.0,,21.0,57.4,4483.0,,299.0,,4184.0,1081.0,,,60.0,,,C
7,2019-09-01,29.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,18.0,23.0,18.0,,23.0,54.8,4108.0,,280.0,,3828.0,1081.0,,,44.0,,,C
8,2019-08-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,20.0,3.0,5.0,,18.0,57.7,4378.0,,299.0,,4079.0,1081.0,,,18.0,,,C
9,2019-07-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,10.0,15.0,5.0,,20.0,58.0,4504.0,,299.0,,4205.0,1081.0,,,61.0,,,C
10,2019-06-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,52.0,9.0,51.0,,10.0,54.9,4531.0,,290.0,,4241.0,1067.0,,,60.0,,,C
11,2019-05-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,30.0,27.0,5.0,,52.0,57.9,4652.0,,299.0,,4353.0,1063.0,,,47.0,,,C
12,2019-04-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,16.0,24.0,10.0,,30.0,59.5,4587.0,,290.0,,4297.0,1063.0,,,38.0,,,C
13,2019-03-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,47.0,17.0,48.0,,16.0,54.8,4842.0,,299.0,,4543.0,1063.0,,,49.0,,,C
14,2019-02-01,28.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,48.0,6.0,7.0,,47.0,59.2,4504.0,,270.0,,4234.0,1063.0,,,70.0,,,C
15,2019-01-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,50.0,7.0,9.0,,48.0,59.8,4838.0,,299.0,,4539.0,1063.0,,,64.0,,,C
16,2018-12-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,48.0,7.0,5.0,,50.0,59.1,4971.0,,299.0,,4672.0,1068.0,,,36.0,,,C
17,2018-11-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,31.0,19.0,2.0,,48.0,57.9,4821.0,,290.0,,4531.0,1076.0,,,35.0,,,C
18,2018-10-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,29.0,3.0,1.0,,31.0,57.5,5098.0,,299.0,,4799.0,1076.0,,,19.0,,,C
19,2018-09-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,21.0,8.0,,,29.0,,4433.0,,290.0,,4143.0,1076.0,,,7.0,,,C
20,2018-08-01,25.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,8.0,15.0,2.0,,21.0,58.4,4149.0,,241.0,,3908.0,1076.0,,,38.0,,,C
21,2018-07-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,9.0,6.0,7.0,,8.0,58.3,4011.0,,280.0,,3731.0,1076.0,,,,,,
22,2018-06-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,22.0,35.0,48.0,,9.0,55.0,4918.0,,290.0,,4628.0,1076.0,,,35.0,,,C
23,2018-05-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,20.0,4.0,2.0,,22.0,60.2,5107.0,,299.0,,4808.0,1079.0,,,46.0,,,C
24,2018-04-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,24.0,6.0,10.0,,20.0,60.7,5057.0,,290.0,,4767.0,1079.0,,,33.0,,,C
25,2018-03-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,23.0,53.0,52.0,,24.0,55.2,5140.0,,299.0,,4841.0,1079.0,,,18.0,,,C
26,2018-02-01,27.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,23.0,4.0,4.0,,23.0,61.2,3995.0,,236.0,,3759.0,1079.0,,,58.0,,,C
27,2018-01-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,22.0,5.0,4.0,,23.0,60.3,4833.0,,299.0,,4534.0,1079.0,,,31.0,,,C
28,2017-12-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,13.0,13.0,4.0,,22.0,59.7,4859.0,,299.0,,4560.0,1079.0,,,38.0,,,C
29,2017-11-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,42.0,13.0,42.0,,13.0,55.2,4472.0,,289.0,,4183.0,1079.0,,,21.0,,,C
30,2017-10-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,30.0,14.0,2.0,,42.0,57.1,4768.0,,299.0,,4469.0,1079.0,,,53.0,,,C
31,2017-09-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,22.0,10.0,2.0,,30.0,56.6,5138.0,,290.0,,4848.0,1079.0,,,31.0,,,C
32,2017-08-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,58.0,5.0,41.0,,22.0,54.7,5008.0,,299.0,,4709.0,1079.0,,,37.0,,,C
33,2017-07-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,32.0,28.0,2.0,,58.0,57.7,4934.0,,299.0,,4635.0,1079.0,,,23.0,,,C
34,2017-06-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,32.0,7.0,7.0,,32.0,58.0,5186.0,,289.0,,4897.0,1079.0,,,35.0,,,C
35,2017-05-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,22.0,12.0,2.0,,32.0,58.3,5583.0,,299.0,,5284.0,1079.0,,,53.0,,,C
36,2017-04-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,55.0,6.0,39.0,,22.0,55.5,5269.0,,290.0,,4979.0,1079.0,,,57.0,,,C
37,2017-03-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,44.0,18.0,7.0,,55.0,57.6,5729.0,,299.0,,5430.0,1079.0,,,66.0,,,C
38,2017-02-01,28.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,41.0,8.0,5.0,,44.0,57.3,5040.0,,270.0,,4770.0,1079.0,,,27.0,,,C
39,2017-01-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,32.0,13.0,4.0,,41.0,55.8,5343.0,,299.0,,5044.0,1070.0,,,22.0,,,C
40,2016-12-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,28.0,11.0,7.0,,32.0,56.8,4699.0,,299.0,,4400.0,1079.0,,,23.0,,,C
41,2016-11-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,21.0,12.0,5.0,,28.0,55.1,5622.0,,289.0,,5333.0,1079.0,,,41.0,,,C
42,2016-10-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,51.0,7.0,37.0,,21.0,56.1,5852.0,,299.0,,5553.0,1079.0,,,35.0,,,C
43,2016-09-01,28.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,44.0,9.0,2.0,,51.0,50.0,5033.0,,270.0,,4763.0,1079.0,,,23.0,,,C
44,2016-08-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,29.0,15.0,,,44.0,,5279.0,,299.0,,4980.0,1079.0,,,21.0,,,C
45,2016-07-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,15.0,18.0,4.0,,29.0,53.6,4567.0,,299.0,,4268.0,1079.0,,,17.0,,,C
46,2016-06-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,50.0,11.0,46.0,,15.0,56.9,4382.0,,289.0,,4093.0,1079.0,,,33.0,,,C
47,2016-05-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,41.0,14.0,5.0,,50.0,58.1,5939.0,,299.0,,5640.0,1079.0,,,17.0,,,C
48,2016-04-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,38.0,5.0,2.0,,41.0,57.0,5809.0,,289.0,,5520.0,1074.0,,,58.0,,,C
49,2016-03-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,35.0,12.0,9.0,,38.0,57.5,6106.0,,299.0,,5807.0,1074.0,,,33.0,,,C
50,2016-02-01,29.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,65.0,15.0,42.0,-3.0,35.0,56.5,5471.0,,280.0,,5191.0,1074.0,,,13.0,,,C
51,2016-01-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,52.0,16.0,3.0,,65.0,57.8,6002.0,,299.0,,5703.0,1074.0,,,5.0,,,C
52,2015-12-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,29.0,27.0,4.0,,52.0,55.8,6073.0,,299.0,,5774.0,1074.0,,,15.0,,,C
53,2015-11-01,30.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,19.0,10.0,,,29.0,,4577.0,,289.0,,4288.0,1074.0,,,11.0,,,C
54,2015-10-01,31.0,PR,45,15504,0,WILLIAMS FORK - CAMEO,47.0,16.0,44.0,,19.0,53.8,5157.0,,299.0,,4858.0,1074.0,,,24.0,,,C
