,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30,PR,123,46915,0,NIOBRARA,111.0,1327.0,1438.0,,,42.6,19963.0,,,,19963.0,1290.0,,,344.0,,,M
1,2020-03-01,31,PR,123,46915,0,NIOBRARA,24.0,1658.0,1572.0,1.0,111.0,42.3,28541.0,,,,28541.0,1310.0,,,58.0,,,M
2,2020-02-01,29,PR,123,46915,0,NIOBRARA,13.0,1668.0,1656.0,-1.0,24.0,42.0,27384.0,,,,27384.0,1330.0,,,167.0,,,M
3,2020-01-01,31,PR,123,46915,0,NIOBRARA,44.0,2099.0,2130.0,,13.0,41.9,31522.0,,,,31522.0,1340.0,,,813.0,,,M
4,2019-12-01,31,PR,123,46915,0,NIOBRARA,86.0,2282.0,2324.0,,44.0,42.4,33662.0,,,,33662.0,1350.0,,,1063.0,,,M
5,2019-11-01,30,PR,123,46915,0,NIOBRARA,102.0,2622.0,2639.0,1.0,86.0,42.2,37816.0,,,,37816.0,1330.0,,,1068.0,,,M
6,2019-10-01,31,PR,123,46915,0,NIOBRARA,27.0,3153.0,3084.0,6.0,102.0,41.8,41539.0,,,,41539.0,1350.0,,,1322.0,,,M
7,2019-09-01,30,PR,123,46915,0,NIOBRARA,79.0,3801.0,3854.0,1.0,27.0,42.0,38261.0,,,,38261.0,1520.0,,,1394.0,,,M
8,2019-08-01,31,PR,123,46915,0,NIOBRARA,106.0,4617.0,4643.0,-1.0,79.0,42.4,38405.0,,,,38405.0,1320.0,,,1042.0,,,M
9,2019-07-01,31,PR,123,46915,0,NIOBRARA,140.0,6011.0,6045.0,,106.0,42.2,40106.0,,,,40106.0,1340.0,,,1253.0,,,M
10,2019-06-01,30,PR,123,46915,0,NIOBRARA,112.0,7615.0,7587.0,,140.0,42.0,39229.0,,,,39229.0,1340.0,,,1189.0,,,M
11,2019-05-01,31,PR,123,46915,0,NIOBRARA,167.0,10749.0,10804.0,,112.0,42.8,39003.0,,,,39003.0,1320.0,,,1567.0,,,M
12,2019-04-01,30,PR,123,46915,0,NIOBRARA,154.0,12885.0,12872.0,,167.0,42.5,24742.0,,,,24742.0,1380.0,,,1766.0,,,M
13,2019-03-01,31,PR,123,46915,0,NIOBRARA,177.0,9702.0,9725.0,,154.0,42.3,14109.0,,225.0,,13884.0,1380.0,,,1895.0,,,M
14,2019-02-01,28,PR,123,46915,0,NIOBRARA,25.0,5753.0,5601.0,,177.0,42.7,10549.0,,372.0,,10177.0,1390.0,,,4819.0,,,M
15,2019-01-01,8,PR,123,46915,0,NIOBRARA,,682.0,657.0,,25.0,43.0,1882.0,,444.0,,1438.0,1300.0,,,1595.0,,,M
16,2018-12-01,0,SI,123,46915,0,NIOBRARA,,,,,,,,,,,,,,,,,,
17,2018-11-01,0,DG,123,46915,0,NIOBRARA,,,,,,,,,,,,,,,,,,
18,2018-10-01,0,DG,123,46915,0,NIOBRARA,,,,,,,,,,,,,,,,,,
19,2018-09-01,0,DG,123,46915,0,NIOBRARA,,,,,,,,,,,,,,,,,,
