,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,31.0,66.0,80.0,,17.0,56.5,568.0,,,,568.0,1241.0,,,12.0,,,C
1,2020-03-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,56.0,62.0,87.0,,31.0,55.9,608.0,,,,608.0,1241.0,,,15.0,,,C
2,2020-02-01,29.0,PR,123,13238,0,NIOBRARA-CODELL,25.0,70.0,39.0,,56.0,56.2,534.0,,,,534.0,1241.0,,,11.0,,,C
3,2020-01-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,27.0,73.0,75.0,,25.0,55.7,535.0,,,,535.0,1241.0,,,16.0,,,C
4,2019-12-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,75.0,54.0,102.0,,27.0,56.1,458.0,,,,458.0,1241.0,,,14.0,,,C
5,2019-11-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,41.0,67.0,33.0,,75.0,56.6,533.0,,,,533.0,1241.0,,,15.0,,,C
6,2019-10-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,22.0,51.0,32.0,,41.0,56.2,543.0,,,,543.0,1241.0,,,19.0,,,C
7,2019-09-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,16.0,38.0,32.0,,22.0,55.1,497.0,,,,497.0,1241.0,,,,,,
8,2019-08-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,22.0,28.0,34.0,,16.0,58.7,484.0,,,,484.0,1241.0,,,8.0,,,C
9,2019-07-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,26.0,28.0,32.0,,22.0,56.5,461.0,,,,461.0,1241.0,,,16.0,,,C
10,2019-06-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,20.0,34.0,28.0,,26.0,55.6,462.0,,,,462.0,1241.0,,,10.0,,,C
11,2019-05-01,26.0,PR,123,13238,0,NIOBRARA-CODELL,22.0,31.0,33.0,,20.0,58.0,455.0,,,,455.0,1241.0,,,19.0,,,C
12,2019-04-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,3.0,26.0,7.0,,22.0,55.4,221.0,,,,221.0,1241.0,,,,,,
13,2019-03-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,,5.0,2.0,,3.0,58.2,4.0,,,,4.0,1241.0,,,14.0,,,C
14,2019-02-01,0.0,SI,123,13238,0,NIOBRARA-CODELL,6.0,,6.0,,,56.0,,,,,,,,,,,,
15,2019-01-01,10.0,PR,123,13238,0,NIOBRARA-CODELL,36.0,15.0,45.0,,6.0,56.5,70.0,,,,70.0,1241.0,,,8.0,,,C
16,2018-12-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,27.0,72.0,63.0,,36.0,56.2,382.0,,,,382.0,1241.0,,,22.0,,,C
17,2018-11-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,43.0,51.0,67.0,,27.0,56.0,336.0,,,,336.0,1241.0,,,,,,
18,2018-10-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,58.0,60.0,75.0,,43.0,57.2,416.0,,,,416.0,1241.0,,,19.0,,,C
19,2018-09-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,22.0,36.0,,,58.0,,383.0,,,,383.0,1241.0,,,14.0,,,C
20,2018-08-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,25.0,33.0,36.0,,22.0,57.9,362.0,,,,362.0,1269.0,,,,,,
21,2018-07-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,34.0,28.0,37.0,,25.0,57.8,344.0,,,,344.0,1269.0,,,15.0,,,C
22,2018-06-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,39.0,30.0,35.0,,34.0,56.4,343.0,,,,343.0,1269.0,,,,,,
23,2018-05-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,34.0,41.0,36.0,,39.0,59.1,388.0,,,,388.0,1269.0,,,10.0,,,C
24,2018-04-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,25.0,46.0,37.0,,34.0,55.2,388.0,,,,388.0,1268.0,,,,,,
25,2018-03-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,35.0,54.0,64.0,,25.0,60.0,445.0,,,,445.0,1269.0,,,33.0,,,C
26,2018-02-01,27.0,PR,123,13238,0,NIOBRARA-CODELL,63.0,50.0,78.0,,35.0,60.9,419.0,,,,419.0,1269.0,,,,,,
27,2018-01-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,30.0,66.0,33.0,,63.0,61.8,513.0,,,,513.0,1268.0,,,17.0,,,C
28,2017-12-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,20.0,52.0,42.0,,30.0,59.8,407.0,,,,407.0,1269.0,,,20.0,,,C
29,2017-11-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,15.0,30.0,25.0,,20.0,59.9,292.0,,,,292.0,1269.0,,,12.0,,,C
30,2017-10-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,15.0,24.0,24.0,,15.0,58.5,276.0,,,,276.0,1268.0,,,,,,
31,2017-09-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,16.0,24.0,25.0,,15.0,58.2,273.0,,,,273.0,1268.0,,,,,,
32,2017-08-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,10.0,29.0,23.0,,16.0,56.2,306.0,,,,306.0,1269.0,,,,,,
33,2017-07-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,8.0,26.0,24.0,,10.0,56.6,325.0,,,,325.0,1269.0,,,,,,
34,2017-06-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,13.0,18.0,23.0,,8.0,56.9,254.0,,,,254.0,1268.0,,,,,,
35,2017-05-01,27.0,PR,123,13238,0,NIOBRARA-CODELL,7.0,27.0,21.0,,13.0,60.2,306.0,,,,306.0,1297.0,,,22.0,,,I
36,2017-04-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,12.0,38.0,43.0,,7.0,60.9,345.0,,,,345.0,1297.0,,,,,,
37,2017-03-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,16.0,37.0,41.0,,12.0,59.8,336.0,,,,336.0,1297.0,,,,,,
38,2017-02-01,26.0,PR,123,13238,0,NIOBRARA-CODELL,59.0,43.0,86.0,,16.0,60.3,346.0,,,,346.0,1297.0,,,,,,
39,2017-01-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,19.0,54.0,14.0,,59.0,57.7,410.0,,,,410.0,1297.0,,,,,,
40,2016-12-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,17.0,54.0,52.0,,19.0,60.4,399.0,,,,399.0,1297.0,,,13.0,,,I
41,2016-11-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,12.0,49.0,44.0,,17.0,57.2,370.0,,,,370.0,1302.0,,,25.0,,,I
42,2016-10-01,28.0,PR,123,13238,0,NIOBRARA-CODELL,32.0,63.0,83.0,,12.0,56.1,529.0,,,,529.0,1302.0,,,20.0,,,I
43,2016-09-01,11.0,PR,123,13238,0,NIOBRARA-CODELL,12.0,20.0,,,32.0,,142.0,,,,142.0,1323.0,,,12.0,,,I
44,2016-08-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,58.0,33.0,79.0,,12.0,55.6,324.0,,,,324.0,1323.0,,,12.0,,,I
45,2016-07-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,35.0,23.0,,,58.0,,294.0,,,,294.0,1323.0,,,,,,
46,2016-06-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,9.0,26.0,,,35.0,,279.0,,,,279.0,1323.0,,,14.0,,,I
47,2016-05-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,35.0,45.0,71.0,,9.0,54.6,324.0,,,,324.0,1313.0,,,,,,
48,2016-04-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,47.0,32.0,44.0,,35.0,56.1,330.0,,,,330.0,1313.0,,,31.0,,,I
49,2016-03-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,8.0,39.0,,,47.0,,318.0,,,,318.0,1313.0,,,,,,
50,2016-02-01,29.0,PR,123,13238,0,NIOBRARA-CODELL,41.0,44.0,77.0,,8.0,55.2,315.0,,,,315.0,1313.0,,,19.0,,,I
51,2016-01-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,56.0,55.0,70.0,,41.0,56.9,337.0,,,,337.0,1313.0,,,,,,
52,2015-12-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,9.0,47.0,,,56.0,,333.0,,,,333.0,1313.0,,,,,,
53,2015-11-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,34.0,48.0,73.0,,9.0,55.4,316.0,,,,316.0,1313.0,,,16.0,,,I
54,2015-10-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,13.0,47.0,26.0,,34.0,54.6,339.0,,,,339.0,1313.0,,,15.0,,,I
55,2015-09-01,30.0,PR,123,13238,0,NIOBRARA-CODELL,34.0,52.0,73.0,,13.0,54.9,334.0,,,,334.0,1313.0,,,,,,
56,2015-08-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,63.0,44.0,73.0,,34.0,55.0,357.0,,,,357.0,1313.0,,,,,,
57,2015-07-01,31.0,PR,123,13238,0,NIOBRARA-CODELL,25.0,38.0,,,63.0,,329.0,,,,329.0,1313.0,,,,,,
