,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
1,2020-03-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
2,2020-02-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
3,2020-01-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
4,2019-12-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
5,2019-11-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
6,2019-10-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
7,2019-09-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
8,2019-08-01,0.0,SI,45,11545,0,WILLIAMS FORK,,,,,,,,,,,,,,,,,,
9,2019-07-01,2.0,PR,45,11545,0,WILLIAMS FORK,,,,,,,6.0,,,,6.0,1046.0,,,,,,
10,2019-06-01,17.0,PR,45,11545,0,WILLIAMS FORK,,,,,,,83.0,,,,83.0,1046.0,,,4.0,,,C
11,2019-05-01,15.0,PR,45,11545,0,WILLIAMS FORK,,,,,,,86.0,,,,86.0,1046.0,,,6.0,,,C
12,2019-04-01,14.0,PR,45,11545,0,WILLIAMS FORK,1.0,,1.0,,,54.4,24.0,,,,24.0,1046.0,,,2.0,,,C
13,2019-03-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,54.5,1053.0,,,,1053.0,1046.0,,,47.0,,,C
14,2019-02-01,28.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,53.9,1072.0,,,,1072.0,1046.0,,,43.0,,,C
15,2019-01-01,29.0,PR,45,11545,0,WILLIAMS FORK,,9.0,8.0,,1.0,53.7,1950.0,,,,1950.0,1046.0,,,96.0,,,C
16,2018-12-01,17.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,4.0,,,52.8,866.0,,,,866.0,1046.0,,,52.0,,,C
17,2018-11-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,53.5,1645.0,,,,1645.0,1046.0,,,96.0,,,C
18,2018-10-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,5.0,5.0,,1.0,52.8,1641.0,,,,1641.0,1037.0,,,178.0,,,C
19,2018-09-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,52.5,1638.0,,,,1638.0,1037.0,,,100.0,,,C
20,2018-08-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,52.5,1529.0,,,,1529.0,1037.0,,,87.0,,,C
21,2018-07-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,52.6,1629.0,,,,1629.0,1037.0,,,96.0,,,C
22,2018-06-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,53.2,1572.0,,,,1572.0,1037.0,,,89.0,,,C
23,2018-05-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,17.0,17.0,,1.0,52.9,2028.0,,70.0,,1958.0,1022.0,,,188.0,,,C
24,2018-04-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,53.9,1528.0,5.0,52.0,,1471.0,1030.0,,,82.0,,,C
25,2018-03-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,6.0,6.0,,1.0,54.2,2071.0,2.0,75.0,,1994.0,1033.0,,,114.0,,,C
26,2018-02-01,28.0,PR,45,11545,0,WILLIAMS FORK,1.0,5.0,5.0,,1.0,54.3,2009.0,1.0,73.0,,1935.0,1031.0,,,89.0,,,C
27,2018-01-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,8.0,8.0,,1.0,54.2,2312.0,1.0,81.0,,2230.0,1032.0,,,101.0,,,C
28,2017-12-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,6.0,6.0,,1.0,54.0,2272.0,1.0,76.0,,2195.0,1031.0,,,112.0,,,C
29,2017-11-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,8.0,8.0,,1.0,53.1,2200.0,,69.0,,2131.0,1029.0,,,110.0,,,C
30,2017-10-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,5.0,5.0,,1.0,53.1,2683.0,,87.0,,2596.0,1039.0,,,137.0,,,C
31,2017-09-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,53.9,3158.0,,,,3158.0,1045.0,,,248.0,,,C
32,2017-08-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,5.0,5.0,,1.0,62.8,3497.0,1.0,,,3496.0,1045.0,,,473.0,,,C
33,2017-07-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,7.0,7.0,,1.0,61.3,3534.0,1.0,,,3533.0,1045.0,,,426.0,,,C
34,2017-06-01,30.0,PR,45,11545,0,WILLIAMS FORK,,8.0,8.0,1.0,1.0,60.3,3422.0,1.0,,,3421.0,1045.0,,,415.0,,,C
35,2017-05-01,31.0,PR,45,11545,0,WILLIAMS FORK,,3.0,3.0,,,61.0,1112.0,,,,1112.0,1045.0,,,134.0,,,C
36,2017-04-01,30.0,PR,45,11545,0,WILLIAMS FORK,,3.0,3.0,,,61.1,1024.0,,,,1024.0,1052.0,,,130.0,,,C
37,2017-03-01,31.0,PR,45,11545,0,WILLIAMS FORK,,4.0,4.0,,,61.4,1186.0,,,,1186.0,1052.0,,,143.0,,,C
38,2017-02-01,28.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,4.0,,,60.8,1128.0,,,,1128.0,1052.0,,,140.0,,,C
39,2017-01-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,3.0,3.0,,1.0,64.7,1203.0,,,,1203.0,1052.0,,,145.0,,,C
40,2016-12-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,62.7,1369.0,1.0,,,1368.0,1052.0,,,168.0,,,C
41,2016-11-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,5.0,5.0,,1.0,61.4,1770.0,,,,1770.0,1052.0,,,228.0,,,C
42,2016-10-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,6.0,6.0,,1.0,60.2,1919.0,1.0,,,1918.0,1045.0,,,237.0,,,C
43,2016-09-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,60.1,1908.0,1.0,,,1907.0,1045.0,,,234.0,,,C
44,2016-08-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,4.0,4.0,,1.0,62.9,2091.0,,,,2091.0,1045.0,,,261.0,,,C
45,2016-07-01,31.0,PR,45,11545,0,WILLIAMS FORK,1.0,6.0,6.0,,1.0,57.0,2282.0,,,,2282.0,1045.0,,,267.0,,,C
46,2016-06-01,30.0,PR,45,11545,0,WILLIAMS FORK,1.0,7.0,7.0,,1.0,57.9,2368.0,1.0,,,2367.0,1045.0,,,297.0,,,C
