,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,18,PR,123,41525,0,NIOBRARA,38.0,229.0,172.0,,95.0,53.7,3448.0,,,,3448.0,1295.0,,,132.0,,,M
1,2020-04-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
2,2020-03-01,29,PR,123,41525,0,NIOBRARA,32.0,280.0,275.0,1.0,38.0,53.71,6273.0,,,,6273.0,1315.0,,,186.0,,,M
3,2020-03-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
4,2020-02-01,29,PR,123,41525,0,NIOBRARA,22.0,276.0,265.0,-1.0,32.0,54.37308,6242.0,,,,6242.0,1316.0,,,189.0,,,M
5,2020-02-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
6,2020-01-01,30,PR,123,41525,0,NIOBRARA,67.0,285.0,330.0,,22.0,53.886669999999995,7867.0,,,,7867.0,1312.0,,,203.0,,,M
7,2020-01-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
8,2019-12-01,31,PR,123,41525,0,NIOBRARA,32.0,475.0,440.0,,67.0,53.37096999999999,11535.0,,,,11535.0,1299.0,,,311.0,,,M
9,2019-12-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
10,2019-11-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
11,2019-11-01,26,PR,123,41525,0,NIOBRARA,96.0,432.0,496.0,,32.0,53.184380000000004,11216.0,,,,11216.0,1299.0,,,305.0,,,M
12,2019-10-01,25,PR,123,41525,0,NIOBRARA,58.0,519.0,480.0,-1.0,96.0,54.38462,14727.0,,,,14727.0,1299.0,,,212.0,,,M
13,2019-10-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
14,2019-09-01,11,PR,123,41525,0,NIOBRARA,41.0,266.0,250.0,1.0,58.0,52.27647,6526.0,,,,6526.0,1298.0,,,147.0,,,M
15,2019-09-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
16,2019-08-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
17,2019-08-01,24,PR,123,41525,0,NIOBRARA,51.0,208.0,217.0,-1.0,41.0,53.677780000000006,11104.0,,,,11104.0,1299.0,,,134.0,,,M
18,2019-07-01,23,PR,123,41525,0,NIOBRARA,72.0,331.0,352.0,,51.0,52.24286,8354.0,,,,8354.0,1274.0,,,282.0,,,M
19,2019-07-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
20,2019-06-01,30,PR,123,41525,0,NIOBRARA,64.0,503.0,495.0,,72.0,52.516130000000004,12442.0,,,,12442.0,1309.0,,,535.0,,,M
21,2019-06-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
22,2019-05-01,24,PR,123,41525,0,NIOBRARA,79.0,401.0,417.0,1.0,64.0,52.79,9974.0,,,,9974.0,1310.0,,,374.0,,,M
23,2019-05-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
24,2019-04-01,30,PR,123,41525,0,NIOBRARA,96.0,560.0,577.0,,79.0,52.421620000000004,12274.0,,,,12274.0,1310.0,,,644.0,,,M
25,2019-04-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
26,2019-03-01,28,PR,123,41525,0,NIOBRARA,80.0,552.0,536.0,,96.0,52.329029999999996,13210.0,,,,13210.0,1271.0,,,550.0,,,M
27,2019-03-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
28,2019-02-01,28,PR,123,41525,0,NIOBRARA,66.0,506.0,492.0,,80.0,52.329029999999996,12043.0,,,,12043.0,1271.0,,,611.0,,,M
29,2019-02-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
30,2019-01-01,31,PR,123,41525,0,NIOBRARA,158.0,563.0,655.0,,66.0,52.09487,8657.0,,,,8657.0,1272.0,,,851.0,,,M
31,2019-01-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
32,2018-12-01,30,PR,123,41525,0,NIOBRARA,174.0,810.0,826.0,,158.0,54.06551999999999,11887.0,,,,11887.0,1293.0,,,809.0,,,M
33,2018-12-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
34,2018-11-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
35,2018-11-01,30,PR,123,41525,0,NIOBRARA,167.0,847.0,839.0,-1.0,174.0,54.35833,13912.0,,,,13912.0,1293.0,,,700.0,,,M
36,2018-10-01,28,PR,123,41525,0,NIOBRARA,59.0,977.0,869.0,,167.0,53.333330000000004,15690.0,,,,15690.0,1292.0,,,518.0,,,M
37,2018-10-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
38,2018-09-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
39,2018-09-01,30,PR,123,41525,0,NIOBRARA,160.0,826.0,928.0,1.0,59.0,50.86572,18924.0,,,,18924.0,1306.0,,,546.0,,,M
40,2018-08-01,31,PR,123,41525,0,NIOBRARA,149.0,965.0,954.0,,160.0,50.97368,20023.0,,,,20023.0,1306.0,,,628.0,,,M
41,2018-08-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
42,2018-07-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
43,2018-07-01,31,PR,123,41525,0,NIOBRARA,102.0,953.0,906.0,,149.0,51.86923,21631.0,,,,21631.0,1305.0,,,810.0,,,M
44,2018-06-01,18,PR,123,41525,0,NIOBRARA,50.0,264.0,213.0,1.0,102.0,53.4,9103.0,,,,9103.0,1306.0,,,1419.0,,,M
45,2018-06-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
46,2018-05-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
47,2018-05-01,24,PR,123,41525,0,NIOBRARA,91.0,640.0,681.0,,50.0,52.83721,16641.0,1.0,,,16640.0,1306.0,,,262.0,,,M
48,2018-04-01,20,PR,123,41525,0,NIOBRARA,108.0,531.0,548.0,,91.0,52.44151,12599.0,,,,12599.0,1307.0,,,154.0,,,M
49,2018-04-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
50,2018-03-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
51,2018-03-01,31,PR,123,41525,0,NIOBRARA,106.0,957.0,954.0,-1.0,108.0,52.44151,19162.0,,,,19162.0,1300.0,,,286.0,,,M
52,2018-02-01,28,PR,123,41525,0,NIOBRARA,140.0,856.0,890.0,,106.0,52.44151,18102.0,,,,18102.0,1300.0,,,241.0,,,M
53,2018-02-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
54,2018-01-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
55,2018-01-01,31,PR,123,41525,0,NIOBRARA,152.0,1067.0,1079.0,,140.0,52.33115,21141.0,,,,21141.0,1300.0,,,288.0,,,M
56,2017-12-01,31,PR,123,41525,0,NIOBRARA,105.0,1156.0,1109.0,,152.0,51.944309999999994,22180.0,,,,22180.0,1306.0,,,325.0,,,M
57,2017-12-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
58,2017-11-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
59,2017-11-01,30,PR,123,41525,0,NIOBRARA,87.0,1139.0,1121.0,,105.0,51.04557,22647.0,,,,22647.0,1306.0,,,347.0,,,M
60,2017-10-01,31,PR,123,41525,0,NIOBRARA,94.0,1272.0,1279.0,,87.0,51.092859999999995,24908.0,,,,24908.0,1306.0,,,382.0,,,M
61,2017-10-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
62,2017-09-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
63,2017-09-01,30,PR,123,41525,0,NIOBRARA,120.0,1381.0,1407.0,,94.0,51.0,24338.0,,,,24338.0,1317.0,,,453.0,,,M
64,2017-08-01,31,PR,123,41525,0,NIOBRARA,106.0,1510.0,1496.0,,120.0,50.5,26178.0,,,,26178.0,1317.0,,,413.0,,,M
65,2017-08-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
66,2017-07-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
67,2017-07-01,31,PR,123,41525,0,NIOBRARA,133.0,1658.0,1685.0,,106.0,51.0,27788.0,,,,27788.0,1317.0,,,522.0,,,M
68,2017-06-01,30,PR,123,41525,0,NIOBRARA,120.0,1735.0,1722.0,,133.0,50.6,28250.0,,,,28250.0,1290.0,,,535.0,,,M
69,2017-06-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
70,2017-05-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
71,2017-05-01,31,PR,123,41525,0,NIOBRARA,92.0,2137.0,2108.0,-1.0,120.0,50.83558,31305.0,,,,31305.0,1290.0,,,661.0,,,M
72,2017-04-01,30,PR,123,41525,0,NIOBRARA,95.0,2255.0,2258.0,,92.0,50.83558,32466.0,,,,32466.0,1278.0,,,779.0,,,M
73,2017-04-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
74,2017-03-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
75,2017-03-01,31,PR,123,41525,0,NIOBRARA,232.0,2674.0,2810.0,-1.0,95.0,50.5,36573.0,,,,36573.0,1278.0,,,885.0,,,M
76,2017-02-01,28,PR,123,41525,0,NIOBRARA,192.0,2844.0,2804.0,,232.0,49.6,32943.0,,,,32943.0,1278.0,,,955.0,,,M
77,2017-02-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
78,2017-01-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
79,2017-01-01,31,PR,123,41525,0,NIOBRARA,193.0,3478.0,3480.0,1.0,192.0,49.4,35903.0,,,,35903.0,1278.0,,,1199.0,,,M
80,2016-12-01,31,PR,123,41525,0,NIOBRARA,204.0,4224.0,4234.0,-1.0,193.0,49.4,40203.0,,,,40203.0,1137.0,,,1496.0,,,M
81,2016-12-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
82,2016-11-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
83,2016-11-01,30,PR,123,41525,0,NIOBRARA,190.0,5150.0,5136.0,,204.0,49.52906,42490.0,,,,42490.0,1137.0,,,2028.0,,,M
84,2016-10-01,31,PR,123,41525,0,NIOBRARA,205.0,7337.0,7352.0,,190.0,49.3,46977.0,,,,46977.0,1137.0,,,3126.0,,,M
85,2016-10-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
86,2016-09-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
87,2016-09-01,26,PR,123,41525,0,NIOBRARA,219.0,7845.0,7859.0,,205.0,48.41812,36498.0,,,,36498.0,1137.0,,,3614.0,,,M
88,2016-08-01,31,PR,123,41525,0,NIOBRARA,205.0,12972.0,12957.0,-1.0,219.0,46.6,41305.0,,,,41305.0,1137.0,,,7749.0,,,M
89,2016-08-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
90,2016-07-01,0,SI,123,41525,0,SHARON SPRINGS,,,,,,,,,,,,,,,,,,
91,2016-07-01,31,PR,123,41525,0,NIOBRARA,14.0,5395.0,5204.0,,205.0,46.7,12977.0,,,,12977.0,1137.0,,,27.0,,,M
92,2016-06-01,0,WO,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
93,2016-05-01,0,WO,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
94,2016-04-01,0,WO,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
95,2016-03-01,0,WO,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
96,2016-02-01,0,WO,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
97,2016-01-01,0,DG,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
98,2015-12-01,0,DG,123,41525,0,NIOBRARA,,,,,,,,,,,,,,,,,,
