,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2005-02-01,,PA,123,7532,0,SUSSEX-SHANNON,,,,,,,,,,,,,,,,,,
1,2005-01-01,,PA,123,7532,0,SUSSEX-SHANNON,,,,,,,,,,,,,,,,,,
2,2004-12-01,,SI,123,7532,0,SUSSEX-SHANNON,8.0,,8.0,,,41.6,,,,,,,,,,,,
3,2004-11-01,,SI,123,7532,0,SUSSEX-SHANNON,8.0,,,,8.0,,,,,,,,,,,,,
4,2004-10-01,,SI,123,7532,0,SUSSEX-SHANNON,8.0,,,,8.0,,,,,,,,,,,,,
5,2004-09-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,7.0,,,1.0,8.0,,,,,,,,,,4.0,,,I
6,2004-08-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,21.0,,14.0,,7.0,41.3,,,,,,,,,,,,
7,2004-07-01,18.0,PR,123,7532,0,SUSSEX-SHANNON,21.0,26.0,26.0,,21.0,41.8,,,,,,,,,9.0,,,I
8,2004-06-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,49.0,47.0,75.0,,21.0,41.8,,,,,,,,,8.0,,,I
9,2004-05-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,30.0,47.0,28.0,,49.0,39.6,,,,,,,,,14.0,,,I
10,2004-04-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,22.0,22.0,14.0,,30.0,41.1,,,,,,,,,18.0,,,I
11,2004-03-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,16.0,22.0,16.0,,22.0,37.7,,,,,,,,,14.0,,,I
12,2004-02-01,29.0,PR,123,7532,0,SUSSEX-SHANNON,11.0,22.0,17.0,,16.0,43.5,,,,,,,,,10.0,,,I
13,2004-01-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,54.0,33.0,76.0,,11.0,40.3,,,,,,,,,21.0,,,I
14,2003-12-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,25.0,29.0,,,54.0,,,,,,,,,,16.0,,,I
15,2003-11-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,28.0,21.0,24.0,,25.0,40.8,,,,,,,,,3.0,,,I
16,2003-10-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,33.0,17.0,22.0,,28.0,42.0,,,,,,,,,7.0,,,I
17,2003-09-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,37.0,28.0,32.0,,33.0,40.8,,,,,,,,,1.0,,,I
18,2003-08-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,27.0,27.0,17.0,,37.0,42.3,,,,,,,,,15.0,,,I
19,2003-07-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,38.0,23.0,33.0,-1.0,27.0,40.8,,,,,,,,,7.0,,,I
20,2003-06-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,35.0,19.0,16.0,,38.0,42.6,,,,,,,,,14.0,,,I
21,2003-05-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,30.0,21.0,16.0,,35.0,40.0,,,,,,,,,7.0,,,I
22,2003-04-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,45.0,22.0,37.0,,30.0,39.9,,,,,,,,,11.0,,,I
23,2003-03-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,21.0,24.0,,,45.0,,,,,,,,,,5.0,,,I
24,2003-02-01,28.0,PR,123,7532,0,SUSSEX-SHANNON,29.0,21.0,29.0,,21.0,41.3,,,,,,,,,14.0,,,I
25,2003-01-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,26.0,44.0,41.0,,29.0,40.4,,,,,,,,,16.0,,,I
26,2002-12-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,20.0,22.0,16.0,,26.0,39.9,,,,,,,,,9.0,,,I
27,2002-11-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,31.0,20.0,30.0,-1.0,20.0,41.6,,,,,,,,,6.0,,,I
28,2002-10-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,34.0,27.0,30.0,,31.0,40.1,,,,,,,,,9.0,,,I
29,2002-09-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,42.0,39.0,47.0,,34.0,41.3,,,,,,,,,13.0,,,I
30,2002-08-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,17.0,57.0,32.0,,42.0,41.5,,,,,,,,,11.0,,,I
31,2002-07-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,11.0,34.0,28.0,,17.0,39.9,,,,,,,,,5.0,,,I
32,2002-06-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,19.0,28.0,36.0,,11.0,39.7,,,,,,,,,20.0,,,I
33,2002-05-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,4.0,15.0,,,19.0,,,,,,,,,,20.0,,,I
34,2002-04-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,12.0,6.0,14.0,,4.0,40.1,,,,,,,,,3.0,,,I
35,2002-03-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,12.0,9.0,,-9.0,12.0,,,,,,,,,,3.0,,,I
36,2002-02-01,28.0,PR,123,7532,0,SUSSEX-SHANNON,12.0,4.0,,-4.0,12.0,,106.0,,,,106.0,1779.0,,,5.0,,,I
37,2002-01-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,29.0,8.0,25.0,,12.0,39.9,150.0,,,,150.0,1779.0,,,7.0,,,I
38,2001-12-01,31.0,PR,123,7532,0,SUSSEX-SHANNON,20.0,9.0,,,29.0,,165.0,,,,165.0,1779.0,,,4.0,,,I
39,2001-11-01,30.0,PR,123,7532,0,SUSSEX-SHANNON,23.0,16.0,19.0,,20.0,40.3,165.0,,,,165.0,1779.0,,,5.0,,,I
