,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2018-01-01,0.0,PA,123,33298,0,NIOBRARA-CODELL,,,,,,,,,,,,,,,,,,
1,2017-12-01,0.0,PA,123,33298,0,NIOBRARA-CODELL,,,,,,,,,,,,,,,,,,
2,2017-11-01,30.0,PR,123,33298,0,NIOBRARA-CODELL,3.0,,,-3.0,,,,,,,,,,,59.0,,,C
3,2017-10-01,31.0,PR,123,33298,0,NIOBRARA-CODELL,37.0,11.0,45.0,,3.0,60.7,5.0,,,,5.0,1618.0,,,132.0,,,I
4,2017-09-01,18.0,PR,123,33298,0,NIOBRARA-CODELL,37.0,,,,37.0,,327.0,,,,327.0,1584.0,,,228.0,,,I
5,2017-08-01,13.0,PR,123,33298,0,NIOBRARA-CODELL,37.0,,,,37.0,,181.0,,,,181.0,1590.0,,,182.0,,,I
6,2017-07-01,14.0,PR,123,33298,0,NIOBRARA-CODELL,149.0,,111.0,-1.0,37.0,60.4,202.0,,,,202.0,1580.0,,,197.0,,,I
7,2017-06-01,17.0,PR,123,33298,0,NIOBRARA-CODELL,127.0,30.0,,-8.0,149.0,,439.0,,,,439.0,1531.0,,,209.0,,,I
8,2017-05-01,31.0,PR,123,33298,0,NIOBRARA-CODELL,81.0,46.0,,,127.0,,871.0,,,,871.0,1521.0,,,238.0,,,I
9,2017-04-01,30.0,PR,123,33298,0,NIOBRARA-CODELL,43.0,38.0,,,81.0,,982.0,,,,982.0,1488.0,,,255.0,,,I
10,2017-03-01,31.0,PR,123,33298,0,NIOBRARA-CODELL,187.0,36.0,180.0,,43.0,63.4,900.0,,,,900.0,1491.0,,,181.0,,,I
11,2017-02-01,28.0,PR,123,33298,0,NIOBRARA-CODELL,139.0,48.0,,,187.0,,844.0,,,,844.0,1489.0,,,173.0,,,I
12,2017-01-01,31.0,PR,123,33298,0,NIOBRARA-CODELL,103.0,36.0,,,139.0,,827.0,,,,827.0,1558.0,,,203.0,,,I
13,2016-12-01,31.0,PR,123,33298,0,NIOBRARA-CODELL,73.0,30.0,,,103.0,,773.0,,,,773.0,1597.0,,,181.0,,,I
