,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,45,20019,0,WILLIAMS FORK,19.0,12.0,1.0,,30.0,51.7,4221.0,,90.0,,4131.0,1072.0,,,324.0,,,C
1,2020-03-01,31.0,PR,45,20019,0,WILLIAMS FORK,17.0,4.0,2.0,,19.0,51.7,4284.0,,93.0,,4191.0,1072.0,,,319.0,,,C
2,2020-02-01,29.0,PR,45,20019,0,WILLIAMS FORK,13.0,5.0,1.0,,17.0,52.3,3828.0,,87.0,,3741.0,1071.0,,,387.0,,,C
3,2020-01-01,31.0,PR,45,20019,0,WILLIAMS FORK,9.0,5.0,1.0,,13.0,50.7,4232.0,,93.0,,4139.0,1065.0,,,365.0,,,C
4,2019-12-01,31.0,PR,45,20019,0,WILLIAMS FORK,8.0,1.0,,,9.0,,4242.0,,93.0,,4149.0,1065.0,,,349.0,,,C
5,2019-11-01,30.0,PR,45,20019,0,WILLIAMS FORK,34.0,11.0,37.0,,8.0,52.1,4110.0,,90.0,,4020.0,1065.0,,,317.0,,,C
6,2019-10-01,31.0,PR,45,20019,0,WILLIAMS FORK,31.0,4.0,1.0,,34.0,50.7,4356.0,,93.0,,4263.0,1065.0,,,360.0,,,C
7,2019-09-01,30.0,PR,45,20019,0,WILLIAMS FORK,28.0,4.0,1.0,,31.0,49.5,4150.0,,90.0,,4060.0,1065.0,,,377.0,,,C
8,2019-08-01,31.0,PR,45,20019,0,WILLIAMS FORK,26.0,3.0,1.0,,28.0,49.9,4353.0,,93.0,,4260.0,1066.0,,,396.0,,,C
9,2019-07-01,31.0,PR,45,20019,0,WILLIAMS FORK,21.0,7.0,2.0,,26.0,51.2,4452.0,,93.0,,4359.0,1082.0,,,360.0,,,C
10,2019-06-01,30.0,PR,45,20019,0,WILLIAMS FORK,17.0,5.0,1.0,,21.0,51.2,4617.0,,90.0,,4527.0,1082.0,,,379.0,,,C
11,2019-05-01,31.0,PR,45,20019,0,WILLIAMS FORK,14.0,7.0,4.0,,17.0,51.4,4971.0,,93.0,,4878.0,1082.0,,,383.0,,,C
12,2019-04-01,24.0,PR,45,20019,0,WILLIAMS FORK,13.0,2.0,1.0,,14.0,52.0,4144.0,,72.0,,4072.0,1082.0,,,288.0,,,C
13,2019-03-01,31.0,PR,45,20019,0,WILLIAMS FORK,10.0,5.0,2.0,,13.0,52.6,4533.0,,93.0,,4440.0,1082.0,,,348.0,,,C
14,2019-02-01,28.0,PR,45,20019,0,WILLIAMS FORK,9.0,3.0,2.0,,10.0,52.6,4115.0,,84.0,,4031.0,1076.0,,,320.0,,,C
15,2019-01-01,31.0,PR,45,20019,0,WILLIAMS FORK,8.0,2.0,1.0,,9.0,50.4,4507.0,,93.0,,4414.0,1068.0,,,376.0,,,C
16,2018-12-01,31.0,PR,45,20019,0,WILLIAMS FORK,38.0,6.0,36.0,,8.0,53.1,4524.0,,93.0,,4431.0,1068.0,,,362.0,,,C
17,2018-11-01,30.0,PR,45,20019,0,WILLIAMS FORK,31.0,10.0,3.0,,38.0,51.1,4422.0,,90.0,,4332.0,1068.0,,,389.0,,,C
18,2018-10-01,31.0,PR,45,20019,0,WILLIAMS FORK,59.0,11.0,39.0,,31.0,53.0,4619.0,,93.0,,4526.0,1068.0,,,414.0,,,C
19,2018-09-01,30.0,PR,45,20019,0,WILLIAMS FORK,54.0,6.0,1.0,,59.0,50.2,4488.0,,90.0,,4398.0,1068.0,,,389.0,,,C
20,2018-08-01,31.0,PR,45,20019,0,WILLIAMS FORK,48.0,7.0,1.0,,54.0,50.0,4870.0,,90.0,,4780.0,1074.0,,,317.0,,,C
21,2018-07-01,31.0,PR,45,20019,0,WILLIAMS FORK,40.0,9.0,1.0,,48.0,51.2,4780.0,,93.0,,4687.0,1074.0,,,362.0,,,C
22,2018-06-01,30.0,PR,45,20019,0,WILLIAMS FORK,34.0,7.0,1.0,,40.0,51.6,4747.0,,90.0,,4657.0,1074.0,,,399.0,,,C
23,2018-05-01,31.0,PR,45,20019,0,WILLIAMS FORK,52.0,16.0,34.0,,34.0,53.3,4810.0,,93.0,,4717.0,1074.0,,,360.0,,,C
24,2018-04-01,30.0,PR,45,20019,0,WILLIAMS FORK,47.0,7.0,2.0,,52.0,51.2,4697.0,,90.0,,4607.0,1074.0,,,405.0,,,C
25,2018-03-01,31.0,PR,45,20019,0,WILLIAMS FORK,37.0,11.0,1.0,,47.0,51.3,5169.0,,93.0,,5076.0,1074.0,,,481.0,,,C
26,2018-02-01,26.0,PR,45,20019,0,WILLIAMS FORK,30.0,8.0,1.0,,37.0,51.1,3727.0,,78.0,,3649.0,1076.0,,,294.0,,,C
27,2018-01-01,31.0,PR,45,20019,0,WILLIAMS FORK,20.0,10.0,,,30.0,,4324.0,,93.0,,4231.0,1076.0,,,267.0,,,C
28,2017-12-01,31.0,PR,45,20019,0,WILLIAMS FORK,16.0,4.0,,,20.0,,4708.0,,93.0,,4615.0,1076.0,,,332.0,,,C
29,2017-11-01,30.0,PR,45,20019,0,WILLIAMS FORK,14.0,2.0,,,16.0,,4329.0,,90.0,,4239.0,1081.0,,,410.0,,,C
30,2017-10-01,31.0,PR,45,20019,0,WILLIAMS FORK,10.0,4.0,,,14.0,,4699.0,,93.0,,4606.0,1081.0,,,378.0,,,C
31,2017-09-01,30.0,PR,45,20019,0,WILLIAMS FORK,34.0,10.0,34.0,,10.0,52.6,4574.0,,90.0,,4484.0,1081.0,,,375.0,,,C
32,2017-08-01,31.0,PR,45,20019,0,WILLIAMS FORK,21.0,14.0,1.0,,34.0,50.2,4871.0,,93.0,,4778.0,1068.0,,,363.0,,,C
33,2017-07-01,31.0,PR,45,20019,0,WILLIAMS FORK,41.0,13.0,33.0,,21.0,53.2,4793.0,,93.0,,4700.0,1068.0,,,380.0,,,M
34,2017-06-01,30.0,PR,45,20019,0,WILLIAMS FORK,26.0,16.0,1.0,,41.0,51.2,4685.0,,90.0,,4595.0,1068.0,,,374.0,,,M
35,2017-05-01,31.0,PR,45,20019,0,WILLIAMS FORK,17.0,9.0,,,26.0,,5057.0,,93.0,,4964.0,1068.0,,,440.0,,,M
36,2017-04-01,30.0,PR,45,20019,0,WILLIAMS FORK,41.0,9.0,33.0,,17.0,53.1,4994.0,,90.0,,4904.0,1068.0,,,361.0,,,C
