,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
1,2020-03-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
2,2020-02-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
3,2020-01-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
4,2019-12-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
5,2019-11-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
6,2019-10-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
7,2019-09-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
8,2019-08-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
9,2019-07-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
10,2019-06-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,8.0,,,,8.0,,,,,,,,,,,,,
11,2019-05-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,14.0,,,-6.0,8.0,,,,,,,,,,,,,
12,2019-04-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,14.0,,,,14.0,,,,,,,,,,,,,
13,2019-03-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,33.0,,18.0,-1.0,14.0,65.4,,,,,,,,,,,,
14,2019-02-01,0.0,TA,123,27148,0,NIOBRARA-CODELL,33.0,,,,33.0,,,,,,,,,,,,,
15,2019-01-01,23.0,PR,123,27148,0,NIOBRARA-CODELL,28.0,5.0,,,33.0,,35.0,,,,35.0,1360.0,,,,,,
16,2018-12-01,24.0,PR,123,27148,0,NIOBRARA-CODELL,26.0,2.0,,,28.0,,7.0,,,,7.0,1360.0,,,,,,
17,2018-11-01,26.0,PR,123,27148,0,NIOBRARA-CODELL,50.0,4.0,28.0,,26.0,67.8,27.0,,8.0,,19.0,1360.0,,,2.0,,,M
18,2018-10-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,79.0,44.0,73.0,,50.0,70.9,166.0,,12.0,,154.0,1360.0,,,5.0,,,M
19,2018-09-01,30.0,PR,123,27148,0,NIOBRARA-CODELL,30.0,49.0,1.0,1.0,79.0,74.4,165.0,,18.0,,147.0,1370.0,,,5.0,,,M
20,2018-08-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,28.0,57.0,54.0,-1.0,30.0,71.5,183.0,,35.0,,148.0,1370.0,,,4.0,,,M
21,2018-07-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,33.0,44.0,49.0,,28.0,69.5,147.0,,21.0,,126.0,1360.0,,,6.0,,,M
22,2018-06-01,30.0,PR,123,27148,0,NIOBRARA-CODELL,40.0,79.0,86.0,,33.0,66.4,223.0,,31.0,,192.0,1350.0,,,9.0,,,M
23,2018-05-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,50.0,19.0,29.0,,40.0,79.6,110.0,,20.0,,90.0,1350.0,,,4.0,,,M
24,2018-04-01,30.0,PR,123,27148,0,NIOBRARA-CODELL,31.0,20.0,1.0,,50.0,82.7,97.0,,20.0,,77.0,1350.0,,,2.0,,,M
25,2018-03-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,38.0,18.0,25.0,,31.0,80.0,96.0,,18.0,,78.0,1350.0,,,1.0,,,M
26,2018-02-01,18.0,PR,123,27148,0,NIOBRARA-CODELL,46.0,16.0,25.0,1.0,38.0,75.5,48.0,,,,48.0,1370.0,,,1.0,,,M
27,2018-01-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,32.0,15.0,1.0,,46.0,75.2,92.0,,24.0,,68.0,1380.0,,,4.0,,,M
28,2017-12-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,36.0,20.0,25.0,1.0,32.0,69.2,112.0,,27.0,,85.0,1350.0,,,4.0,,,M
29,2017-11-01,30.0,PR,123,27148,0,NIOBRARA-CODELL,48.0,20.0,32.0,,36.0,69.2,125.0,,12.0,,113.0,1340.0,,,3.0,,,M
30,2017-10-01,31.0,PR,123,27148,0,NIOBRARA-CODELL,20.0,29.0,3.0,2.0,48.0,66.8,130.0,,19.0,,111.0,1370.0,,,4.0,,,M
31,2017-09-01,30.0,PR,123,27148,0,NIOBRARA-CODELL,51.0,40.0,72.0,1.0,20.0,61.0,97.0,,,,97.0,1370.0,,,3.0,,,M
