,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30,PR,123,41069,0,CODELL,7.0,1965.0,1964.0,,8.0,46.2,22513.0,,29.0,,22484.0,1367.0,,,406.0,,,M
1,2020-03-01,30,PR,123,41069,0,CODELL,6.0,2085.0,2084.0,,7.0,45.4,25375.0,,27.0,,25348.0,1361.0,,,471.0,,,M
2,2020-02-01,29,PR,123,41069,0,CODELL,4.0,2419.0,2417.0,,6.0,46.9,27324.0,,28.0,,27296.0,1359.0,,,614.0,,,M
3,2020-01-01,31,PR,123,41069,0,CODELL,5.0,2480.0,2480.0,-1.0,4.0,47.0,26253.0,,29.0,,26224.0,1360.0,,,508.0,,,M
4,2019-12-01,31,PR,123,41069,0,CODELL,5.0,2434.0,2435.0,1.0,5.0,46.2,25920.0,,29.0,,25891.0,1363.0,,,502.0,,,M
5,2019-11-01,30,PR,123,41069,0,CODELL,4.0,2545.0,2544.0,,5.0,46.4,25924.0,,29.0,,25895.0,1328.0,,,512.0,,,M
6,2019-10-01,31,PR,123,41069,0,CODELL,3.0,2434.0,2433.0,,4.0,46.7,25020.0,,29.0,,24991.0,1327.0,,,390.0,,,M
7,2019-09-01,30,PR,123,41069,0,CODELL,4.0,2705.0,2705.0,-1.0,3.0,45.6,29795.0,,27.0,,29768.0,1326.0,,,499.0,,,M
8,2019-08-01,31,PR,123,41069,0,CODELL,4.0,3305.0,3304.0,-1.0,4.0,46.1,35226.0,,29.0,,35197.0,1341.0,,,647.0,,,M
9,2019-07-01,31,PR,123,41069,0,CODELL,4.0,3936.0,3936.0,,4.0,46.1,40077.0,,29.0,,40048.0,1336.0,,,1089.0,,,M
10,2019-06-01,30,PR,123,41069,0,CODELL,3.0,3689.0,3688.0,,4.0,45.7,26265.0,,27.0,,26238.0,1359.0,,,898.0,,,M
11,2019-05-01,10,PR,123,41069,0,CODELL,3.0,1463.0,1463.0,,3.0,46.9,8173.0,,9.0,,8164.0,1370.0,,,120.0,,,M
12,2019-04-01,29,PR,123,41069,0,CODELL,3.0,2753.0,2753.0,,3.0,45.5,21012.0,,24.0,,20988.0,1359.0,,,588.0,,,M
13,2019-03-01,31,PR,123,41069,0,CODELL,3.0,3233.0,3234.0,1.0,3.0,45.7,25229.0,,29.0,,25200.0,1364.0,,,701.0,,,M
14,2019-02-01,28,PR,123,41069,0,CODELL,3.0,3351.0,3351.0,,3.0,45.4,27934.0,,26.0,,27908.0,1340.0,,,858.0,,,M
15,2019-01-01,31,PR,123,41069,0,CODELL,3.0,4131.0,4131.0,,3.0,45.8,34011.0,,30.0,,33981.0,1337.0,,,1109.0,,,M
16,2018-12-01,26,PR,123,41069,0,CODELL,2.0,3852.0,3852.0,1.0,3.0,45.8,27479.0,,24.0,,27455.0,1341.0,,,997.0,,,M
17,2018-11-01,30,PR,123,41069,0,CODELL,2.0,4478.0,4478.0,,2.0,45.3,36530.0,,29.0,,36501.0,1323.0,,,1273.0,,,M
18,2018-10-01,31,PR,123,41069,0,CODELL,2.0,4846.0,4846.0,,2.0,45.3,38619.0,,30.0,,38589.0,1326.0,,,1536.0,,,M
19,2018-09-01,30,PR,123,41069,0,CODELL,11.0,4734.0,4743.0,,2.0,45.7,36508.0,,29.0,,36479.0,1328.0,,,1667.0,,,M
20,2018-08-01,31,PR,123,41069,0,CODELL,9.0,4989.0,4987.0,,11.0,45.5,32039.0,,30.0,,32009.0,1354.0,,,1558.0,,,M
21,2018-07-01,28,PR,123,41069,0,CODELL,6.0,5061.0,5058.0,,9.0,45.3,24454.0,,27.0,,24427.0,1365.0,,,1236.0,,,M
22,2018-06-01,30,PR,123,41069,0,CODELL,4.0,5429.0,5427.0,,6.0,46.4,26539.0,,28.0,,26511.0,1347.0,,,1408.0,,,M
23,2018-05-01,31,PR,123,41069,0,CODELL,4.0,6058.0,6059.0,1.0,4.0,45.7,29046.0,,30.0,,29016.0,1357.0,,,1785.0,,,M
24,2018-04-01,30,PR,123,41069,0,CODELL,4.0,6329.0,6329.0,,4.0,47.6,27700.0,,29.0,,27671.0,1365.0,,,1821.0,,,M
25,2018-03-01,31,PR,123,41069,0,CODELL,2.0,7179.0,7177.0,,4.0,45.8,25768.0,,30.0,,25738.0,1366.0,,,2013.0,,,M
26,2018-02-01,28,PR,123,41069,0,CODELL,2.0,7198.0,7197.0,-1.0,2.0,56.4,22611.0,,27.0,,22584.0,1377.0,,,2016.0,,,M
27,2018-01-01,31,PR,123,41069,0,CODELL,2.0,8450.0,8450.0,,2.0,47.4,24888.0,,30.0,,24858.0,1410.0,,,2620.0,,,M
28,2017-12-01,31,PR,123,41069,0,CODELL,2.0,9575.0,9575.0,,2.0,47.3,23755.0,,29.0,,23726.0,1415.0,,,3135.0,,,M
29,2017-11-01,30,PR,123,41069,0,CODELL,1.0,10551.0,10551.0,1.0,2.0,44.1,21684.0,,29.0,,21655.0,1434.0,,,3530.0,,,M
30,2017-10-01,31,PR,123,41069,0,CODELL,1.0,12404.0,12404.0,,1.0,44.1,23123.0,,30.0,,23093.0,1451.0,,,4649.0,,,M
31,2017-09-01,30,PR,123,41069,0,CODELL,,10766.0,10764.0,-1.0,1.0,44.2,19055.0,,29.0,,19026.0,1418.0,,,4015.0,,,M
32,2017-08-01,31,PR,123,41069,0,CODELL,,7999.0,7999.0,,,49.1,15894.0,,30.0,,15864.0,1472.0,,,4034.0,,,M
33,2017-07-01,31,PR,123,41069,0,CODELL,,3678.0,3678.0,,,43.4,6272.0,,30.0,,6242.0,1409.0,,,4978.0,,,M
34,2017-06-01,9,PR,123,41069,0,NOT COMPLETED,,479.0,479.0,,,42.3,779.0,,9.0,,770.0,1389.0,0.0,0.0,,0.0,0.0,
35,2017-06-01,9,PR,123,41069,0,CODELL,,481.0,481.0,,,43.1,760.0,,9.0,,751.0,1354.0,,,,,,
36,2017-05-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
37,2017-04-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
38,2017-03-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
39,2017-02-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
40,2017-01-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
41,2016-12-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
42,2016-11-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
43,2016-10-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
44,2016-09-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
45,2016-08-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
46,2016-07-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
47,2016-06-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
48,2016-05-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
49,2016-04-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
50,2016-03-01,0,WO,123,41069,0,CODELL,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
51,2016-02-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
52,2016-01-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
53,2015-12-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
54,2015-11-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
55,2015-10-01,0,WO,123,41069,0,NOT COMPLETED,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,
