,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2004-01-01,,PA,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
1,2003-12-01,,SI,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
2,2003-11-01,,SI,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
3,2003-10-01,1.0,PR,1,7508,0,J SAND,,,,,,,3.0,,,,3.0,1451.0,,,,,,
4,2003-09-01,,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
5,2003-08-01,,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
6,2003-07-01,,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
7,2003-06-01,30.0,PR,1,7508,0,J SAND,,,,,,,3.0,,,,3.0,1451.0,,,,,,
8,2003-05-01,,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
9,2003-04-01,,SI,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
10,2003-03-01,,SI,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
11,2003-02-01,1.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,6.0,,,,6.0,1451.0,,,,,,
12,2003-01-01,31.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,6.0,,,,6.0,1451.0,,,,,,
13,2002-12-01,31.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,10.0,,,,10.0,1451.0,,,,,,
14,2002-11-01,0.0,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
15,2002-10-01,3.0,PR,1,7508,0,J SAND,,,,,,,10.0,,,,10.0,1451.0,,,,,,
16,2002-09-01,1.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,1.0,,,,1.0,1451.0,,,,,,
17,2002-08-01,0.0,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
18,2002-07-01,0.0,SI,1,7508,0,J SAND,74.0,,,,74.0,,,,,,,,,,,,,
19,2002-06-01,30.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,99.0,,,,99.0,1451.0,,,,,,
20,2002-05-01,31.0,PR,1,7508,0,J SAND,74.0,,,,74.0,,9.0,,,,9.0,1451.0,,,,,,
21,2002-04-01,0.0,SI,1,7508,0,J SAND,120.0,0.0,,-46.0,74.0,,,,,,,,,,,,,
22,2002-03-01,,SI,1,7508,0,J SAND,120.0,,,,120.0,,,,,,,,,,,,,
23,2002-02-01,,SI,1,7508,0,J SAND,120.0,,,,120.0,,,,,,,,,,,,,
24,2002-01-01,,SI,1,7508,0,J SAND,120.0,,,,120.0,,,,,,,,,,,,,
25,2001-12-01,25.0,PR,1,7508,0,J SAND,135.0,,,-15.0,120.0,,,,,,,,,,,,,
26,2001-11-01,,SI,1,7508,0,J SAND,135.0,,,,135.0,,,,,,,,,,,,,
27,2001-10-01,1.0,PR,1,7508,0,J SAND,215.0,,,-80.0,135.0,,12.0,,,,12.0,1451.0,,,,,,
28,2001-09-01,11.0,PR,1,7508,0,J SAND,215.0,,,,215.0,,53.0,,,,53.0,1386.0,,,,,,
29,2001-08-01,4.0,PR,1,7508,0,J SAND,230.0,,,-15.0,215.0,,60.0,,,,60.0,1386.0,,,10.0,,,P
30,2001-07-01,28.0,PR,1,7508,0,J SAND,220.0,10.0,,,230.0,,503.0,,,,503.0,1386.0,,,46.0,,,P
31,2001-06-01,26.0,PR,1,7508,0,J SAND,175.0,90.0,,-45.0,220.0,,487.0,,,,487.0,1386.0,,,,,,
32,2001-05-01,29.0,PR,1,7508,0,J SAND,167.0,8.0,,,175.0,,433.0,,,,433.0,1386.0,,,,,,
33,2001-04-01,26.0,PR,1,7508,0,J SAND,132.0,35.0,,,167.0,,444.0,,,,444.0,1386.0,,,,,,
34,2001-03-01,31.0,PR,1,7508,0,J SAND,94.0,63.0,,-25.0,132.0,,621.0,,,,621.0,1386.0,,,,,,
35,2001-02-01,23.0,PR,1,7508,0,J SAND,163.0,66.0,135.0,,94.0,46.5,657.0,,,,657.0,1386.0,,,,,,
36,2001-01-01,13.0,PR,1,7508,0,J SAND,218.0,95.0,,150.0,163.0,,556.0,,,,556.0,1386.0,,,,,,
37,2000-12-01,,SI,1,7508,0,J SAND,218.0,,,,218.0,,,,,,,,,,,,,
38,2000-11-01,,SI,1,7508,0,J SAND,218.0,,,,218.0,,,,,,,,,,,,,
39,2000-10-01,12.0,PR,1,7508,0,J SAND,233.0,10.0,,-25.0,218.0,,206.0,,,,206.0,1386.0,,,,,,
40,2000-09-01,30.0,PR,1,7508,0,J SAND,212.0,83.0,,-62.0,233.0,,817.0,,,,817.0,1383.0,,,,,,
41,2000-08-01,31.0,PR,1,7508,0,J SAND,187.0,82.0,,-57.0,212.0,,704.0,,,,704.0,1398.0,,,,,,
42,2000-07-01,25.0,PR,1,7508,0,J SAND,152.0,75.0,,-40.0,187.0,,612.0,,,,612.0,1398.0,,,,,,
43,2000-06-01,30.0,PR,1,7508,0,J SAND,73.0,94.0,,-15.0,152.0,,668.0,,,,668.0,1398.0,,,,,,
44,2000-05-01,21.0,PR,1,7508,0,J SAND,27.0,46.0,,,73.0,,490.0,,,,490.0,1398.0,,,,,,
45,2000-04-01,11.0,PR,1,7508,0,J SAND,243.0,13.0,190.0,-39.0,27.0,56.8,162.0,,,,162.0,1398.0,,,,,,
46,2000-03-01,31.0,PR,1,7508,0,J SAND,235.0,91.0,,-83.0,243.0,,775.0,,,,775.0,1398.0,,,,,,
47,2000-02-01,17.0,PR,1,7508,0,J SAND,192.0,43.0,,,235.0,,357.0,,,,357.0,1398.0,,,,,,
48,2000-01-01,,SI,1,7508,0,J SAND,,,,,,,,,,,,,,,,,,
49,1999-12-01,12.0,PR,1,7508,0,J SAND,142.0,20.0,,,162.0,,257.0,,,,257.0,1398.0,,,,,,
50,1999-11-01,26.0,PR,1,7508,0,J SAND,110.0,32.0,,,142.0,,546.0,,,,546.0,1398.0,,,,,,
51,1999-10-01,20.0,PR,1,7508,0,J SAND,82.0,28.0,,,110.0,,445.0,,,,445.0,1398.0,,,,,,
52,1999-09-01,21.0,PR,1,7508,0,J SAND,68.0,16.0,,-2.0,82.0,,693.0,,,,693.0,1398.0,,,,,,
53,1999-08-01,13.0,PR,1,7508,0,J SAND,77.0,22.0,,-31.0,68.0,,487.0,,,,487.0,1398.0,,,,,,
54,1999-07-01,2.0,PR,1,7508,0,J SAND,72.0,5.0,,,77.0,,,,,,,,,,,,,
55,1999-06-01,4.0,PR,1,7508,0,J SAND,72.0,18.0,,-18.0,72.0,,132.0,,,,132.0,1398.0,,,,,,
56,1999-05-01,30.0,PR,1,7508,0,J SAND,,,,,,,309.0,,,,309.0,998.0,,,,,,
57,1999-04-01,13.0,PR,1,7508,0,J SAND,259.0,7.0,208.0,-5.0,53.0,56.0,336.0,,,,336.0,1398.0,,,,,,
58,1999-03-01,31.0,PR,1,7508,0,J SAND,,,,,,,682.0,,,,682.0,998.0,,,,,,
59,1999-02-01,24.0,PR,1,7508,0,J SAND,209.0,57.0,,-12.0,254.0,,1019.0,,,,1019.0,1398.0,,,,,,
