,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,30.0,PR,45,23807,0,NOT COMPLETED,31.0,26.0,19.0,,38.0,53.9,19286.0,,664.0,1136.0,17486.0,1018.0,,,1634.0,,,C
1,2020-03-01,31.0,PR,45,23807,0,NOT COMPLETED,19.0,51.0,39.0,,31.0,53.4,20714.0,,711.0,1283.0,18720.0,1012.0,,,1810.0,,,C
2,2020-02-01,29.0,PR,45,23807,0,NOT COMPLETED,18.0,20.0,19.0,,19.0,53.8,18842.0,,669.0,1145.0,17028.0,1011.0,,,1402.0,,,C
3,2020-01-01,31.0,PR,45,23807,0,NOT COMPLETED,76.0,16.0,74.0,,18.0,53.5,20573.0,,698.0,1506.0,18369.0,1007.0,,,1414.0,,,C
4,2019-12-01,31.0,PR,45,23807,0,NOT COMPLETED,94.0,20.0,38.0,,76.0,53.7,21557.0,,693.0,2136.0,18728.0,989.0,,,708.0,,,C
5,2019-11-01,30.0,PR,45,23807,0,NOT COMPLETED,67.0,46.0,19.0,,94.0,53.5,23286.0,,758.0,2299.0,20229.0,995.0,,,1503.0,,,C
6,2019-10-01,31.0,PR,45,23807,0,NOT COMPLETED,79.0,43.0,55.0,,67.0,53.5,26638.0,,808.0,2593.0,23237.0,994.0,,,1447.0,,,C
7,2019-09-01,30.0,PR,45,23807,0,NOT COMPLETED,66.0,45.0,32.0,,79.0,53.0,27939.0,,828.0,1892.0,25219.0,1009.0,,,1480.0,,,C
8,2019-08-01,31.0,PR,45,23807,0,NOT COMPLETED,37.0,81.0,52.0,,66.0,52.8,30920.0,,909.0,1712.0,28299.0,1043.0,,,2463.0,,,C
9,2019-07-01,31.0,PR,45,23807,0,NOT COMPLETED,28.0,46.0,37.0,,37.0,52.8,34203.0,,1103.0,1674.0,31426.0,1016.0,,,3083.0,,,C
10,2019-06-01,30.0,PR,45,23807,0,NOT COMPLETED,36.0,48.0,56.0,,28.0,52.8,35972.0,,1184.0,3234.0,31554.0,994.0,,,3205.0,,,C
11,2019-05-01,31.0,PR,45,23807,0,NOT COMPLETED,42.0,70.0,76.0,,36.0,52.8,41894.0,,1363.0,2427.0,38104.0,1009.0,,,3086.0,,,C
12,2019-04-01,30.0,PR,45,23807,0,NOT COMPLETED,32.0,67.0,57.0,,42.0,52.6,46493.0,,1481.0,3920.0,41092.0,1002.0,,,3393.0,,,C
13,2019-03-01,31.0,PR,45,23807,0,NOT COMPLETED,29.0,77.0,74.0,,32.0,52.0,55779.0,,1759.0,5548.0,48472.0,998.0,,,4875.0,,,C
14,2019-02-01,28.0,PR,45,23807,0,NOT COMPLETED,15.0,68.0,54.0,,29.0,51.2,57327.0,,1830.0,5988.0,49509.0,989.0,,,5862.0,,,C
15,2019-01-01,31.0,PR,45,23807,0,NOT COMPLETED,4.0,64.0,53.0,,15.0,50.4,62438.0,,1942.0,5289.0,55207.0,992.0,,,9941.0,,,C
16,2018-12-01,28.0,PR,45,23807,0,NOT COMPLETED,,25.0,21.0,,4.0,49.5,22554.0,,700.0,2133.0,19721.0,994.0,,,40988.0,,,C
17,2018-11-01,,WO,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
18,2018-10-01,,WO,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
19,2018-09-01,,WO,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
20,2018-08-01,,WO,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
21,2018-07-01,,WO,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
22,2018-06-01,,DG,45,23807,0,NOT COMPLETED,,,,,,,,,,,,,,,,,,
